"Atomic environment number (Villars, Daams)",Charge nuclear effective (Clementi),Compression modulus,Density,Energy cohesive (Brewer),Enthalpy of melting,Entropy of solid,Magnetic frequency of nuclei,Melting temperature,Mendeleev chemists sequence,Moment nuclear magnetic,Nuclear charge effective (Slater),Oxidation state first,Radii covalent(pm),Radii metal (Waber) (A),Spectral lines no,Spin nuclei,Thermal neutron capture cross section,Valence electron number,"Volume of atom (Villars, Daams)",Luminosity (photons/MeV)
5.166666667,10.2755,0.055066667,4512.15,5.139333333,12.97583333,99.20713667,17.27046667,592.2833333,69.78333333,2.182833333,6.016666667,0,154.45,1.666933333,192.4833333,2.183333333,81.21166667,5.35,4.9169,4.75
4.971428571,73.98437143,0.069125714,2044.14,2.379885714,2.073,141.6180191,15.82325143,267.7057143,74.50571429,-0.7296,4.007142857,-0.285714286,110.6771429,1.350017143,163.9971429,1.931428571,13.65217143,4.574285714,3.240611429,4.375
4.181818182,5.998181818,0.092090909,3218.363636,1.589090909,4.570909091,162.3717164,71.50390909,480.7272727,86.18181818,2.522454545,4.586363636,0,88.54545455,1.064636364,91.90909091,1.136363636,15.39789091,5.818181818,1350.199909,0.05
5,5.215,0.0835,1899.333333,1.128333333,3.123333333,151.4993583,65.59016667,356,73.16666667,2.049,4.416666667,0,94.33333333,267.8738333,105.5,1,0.233566667,5.333333333,1238.103833,0.125
2.877777778,112.4761444,0.086382222,2138.943333,2.706622222,1.722388889,153.1454024,19.28376444,218.1077778,90.47444444,-0.906566667,4.416666667,-0.444444444,90.43,1.126506667,168.1655556,1.945555556,5.295977778,5.334444444,2.277571111,0.2375
3.422222222,5.170066667,0.253542222,2614.22,2.891022222,13.42277778,133.3449282,15.96697333,637.3266667,82.50444444,-0.654577778,4.083333333,0.222222222,105.1933333,1.23568,196.6644444,1.946666667,559.4764444,4.78,2.640697778,3.75
4.165,5.555088333,0.211840667,2861.274833,2.698326667,11.54729167,128.438115,16.07728133,656.8495,74.33783333,-0.445235,3.916666667,0.333333333,116.3311667,1.338426,204.6748333,2.000166667,796.1511833,4.500166667,3.053419,1
4.833333333,6.04991,0.094737833,2775.506667,1.805841667,3.605433333,154.2642136,65.4641395,495.6373333,76.46616667,1.865462833,4.439191667,0.25,95.96616667,1.128581,98.5775,0.882833333,0.366846667,5.583333333,1238.037057,0.1225
2.526315789,6.689473684,0.195157895,4155.631579,2.708947368,8.385684211,146.4785032,12.496,340.4736842,94.73684211,-0.206789474,5.092105263,-0.315789474,92.94736842,1.136157895,158,3.236842105,0.356294737,5.473684211,2.198736842,1.325
2.526315789,6.689473684,0.195157895,4155.631579,2.708947368,8.385684211,146.4785032,12.496,340.4736842,94.73684211,-0.206789474,5.092105263,-0.315789474,92.94736842,1.136157895,158,3.236842105,0.356294737,5.473684211,2.198736842,0.25
5.821746296,12.94470222,0.313358319,9410.709198,2.226309337,10.86297385,61.07752097,16.02350688,542.699068,81.68862951,3.807172075,6.210329057,2.838555773,148.8146138,1.669137791,129.8482231,4.391557672,10.517062,5.01684803,3.461303775,0.15
4.6,7.77,0.093,4088.76,2.1,6.0316,136.782756,16.2604,383.6,79.4,0.6566,5.17,0,119.2,1.3786,165.6,2.5,1.62792,5.2,3.3172,0.275
4.6,7.188,0.092,3874.2,2.136,5.1986,151.05137,12.8188,364.8,79.8,0.401,4.87,0,116.2,1.3268,180.8,2.5,7.36792,5.2,579.8618,0.825
4.2,6.886,0.0946,3663.4,2.1,5.2786,148.53929,11.4628,373.8,80,0.4326,4.87,0,115,1.3084,154.6,3.1,7.34792,5.2,579.7284,0.25
3.652173913,4.881304348,0.277130435,3116.652174,2.943913043,7.595043478,139.1492096,15.35508696,506.5652174,84.47826087,-0.911478261,4.297826087,-0.086956522,95.17391304,1.16173913,185.6086957,2.369565217,16.19692174,4.869565217,2.170869565,0.15
3.904761905,73.71333333,0.086739286,1867.988095,2.462666667,2.685261905,142.8026346,19.62638333,343.6666667,80.00595238,-1.102875,4.211904762,-0.282142857,97.58690476,1.196217857,161.9880952,2.357142857,0.130759524,4.955952381,90.69558929,0.4
2.625,64.76275,0.286429375,1967.93125,3.00655,4.6164375,139.3406973,18.38733375,534.475,88.884375,-0.869203125,4.125,-0.249375,87.744375,1.085338125,152.98125,2.25,479.7031063,5.000625,1.999403125,0.16375
